100   "Failed"
101   "Failed"
103   "Failed"
104   "Failed"
109   "Failed"
111   "Failed"
112   "Failed"
116   "Failed"
118   "Failed"
119   "Failed"
120   2724   "Trachinocephalus myops"
120   1975   "Trachinotus goreensis"
120   1976   "Trachinotus maxillosus"
120   1773   "Trachinotus ovatus"
120   1977   "Trachinotus teraia"
120   1777   "Trachipterus trachypterus"
120   5382   "Trachurus capensis"
120   371   "Trachurus trecae"
120   1288   "Trichiurus lepturus"
120   5081   "Trigloporus lastoviza"
120   9126   "Tylochromis lateralis"
120   9026   "Tylosurus acus+rafale"
120   977   "Tylosurus crocodilus+crocodilus"
120   4548   "Umbrina canariensis"
120   4547   "Umbrina ronchus"
120   1012   "Uraspis secunda"
120   2632   "Uroconger syringinus"
120   5400   "Urogymnus asperrimus"
120   11686   "Valenciennellus tripunctulatus"
120   9073   "Venefica proboscidea"
120   1780   "Vinciguerria attenuata"
120   7385   "Vinciguerria nimbaria"
120   22805   "Wheelerigobius wirtzi"
120   9124   "Winteria telescopa"
120   5064   "Xenodermichthys copei"
120   226   "Xiphias gladius"
120   8090   "Yarrella blackfordi"
120   10007   "Yongeichthys thomasi"
120   5043   "Zanobatus schoenleinii"
120   9127   "Zenion longipinnis"
120   336   "Zenopsis conchifer"
120   1370   "Zeus faber"
121   "Failed"
122   "Failed"
124   "Failed"
125   "Failed"
130   "Failed"
132   "Failed"
133   "Failed"
136   1119   "Abudefduf saxatilis"
136   1120   "Abudefduf taurus"
136   3708   "Acanthemblemaria aspera"
136   16485   "Acanthemblemaria maria"
136   16486   "Acanthemblemaria spinosa"
136   89   "Acanthocybium solandri"
136   4287   "Acanthostracion polygonius"
136   942   "Acanthurus bahianus"
136   943   "Acanthurus chirurgus"
136   944   "Acanthurus coeruleus"
136   16677   "Acyrtus rubiginosus"
136   1250   "Aetobatus narinari"
136   1085   "Agonostomus monticola"
136   228   "Albula vulpes"
136   988   "Alectis ciliaris"
136   8726   "Alphestes afer"
136   4275   "Aluterus scriptus"
136   3655   "Amblycirrhitus pinos"
136   1682   "Anchoa cayorum"
136   1685   "Anchoa colonensis"
136   1687   "Anchoa cubana"
136   926   "Anchoa filifera"
136   1688   "Anchoa lamprotaenia"
136   1132   "Anchoa lyolepis"
136   535   "Anchoa parva"
136   543   "Anchovia clupeoides"
136   1678   "Anchoviella perfasciata"
136   1123   "Anisotremus surinamensis"
136   1124   "Anisotremus virginicus"
136   3084   "Antennarius multiocellatus"
136   3520   "Apogon affinis"
136   3521   "Apogon aurolineatus"
136   3522   "Apogon binotatus"
136   3524   "Apogon lachneri"
136   3526   "Apogon maculatus"
136   3529   "Apogon planifrons"
136   3531   "Apogon quadrisquamatus"
136   16435   "Apogon robinsi"
136   3532   "Apogon townsendi"
136   85   "Apsilus dentatus"
136   1219   "Archosargus rhomboidalis"
136   962   "Ariomma regulus"
136   3534   "Astrapogon puncticulatus"
136   3535   "Astrapogon stellatus"
136   964   "Aulostomus maculatus"
136   93   "Auxis rochei+rochei"
136   94   "Auxis thazard+thazard"
136   50323   "Awaous banana"
136   19   "Balistes vetula"
136   3836   "Bathygobius mystacium"
136   3837   "Bathygobius soporator"
136   1066   "Bodianus pulchellus"
136   1067   "Bodianus rufus"
136   3838   "Bollmannia boqueronensis"
136   978   "Bothus lunatus"
136   4207   "Bothus ocellatus"
136   16421   "Calamopteryx goslinei"
136   1221   "Calamus bajonado"
136   1222   "Calamus calamus"
136   1227   "Calamus penna"
136   3824   "Callionymus bairdi"
136   4277   "Cantherhines macrocerus"
136   1082   "Cantherhines pullus"
136   4279   "Canthidermis sufflamen"
136   4291   "Canthigaster rostrata"
136   1913   "Carangoides bartholomaei"
136   1918   "Carangoides ruber"
136   1933   "Caranx crysos"
136   1935   "Caranx latus"
136   1936   "Caranx lugubris"
136   857   "Carcharhinus acronotus"
136   868   "Carcharhinus falciformis"
136   873   "Carcharhinus leucas"
136   874   "Carcharhinus limbatus"
136   875   "Carcharhinus longimanus"
136   879   "Carcharhinus perezii"
136   983   "Caulolatilus chrysops"
136   345   "Centropomus undecimalis"
136   3607   "Centropyge argi"
136   12   "Cephalopholis cruentata"
136   8816   "Cephalopholis fulva"
136   3902   "Cerdale floridana"
136   547   "Cetengraulis edentulus"
136   3712   "Chaenopsis limbaughi"
136   3713   "Chaenopsis ocellata"
136   3602   "Chaetodon capistratus"
136   3604   "Chaetodon ocellatus"
136   3605   "Chaetodon sedentarius"
136   3606   "Chaetodon striatus"
136   1030   "Cheilopogon melanurus"
136   4299   "Chilomycterus antennatus"
136   4300   "Chilomycterus antillarum"
136   1645   "Chirocentrodon bleekerianus"
136   385   "Chloroscombrus chrysurus"
136   3642   "Chromis cyanea"
136   3643   "Chromis enchrysura"
136   3644   "Chromis insolata"
136   1121   "Chromis multilineata"
136   3656   "Clepticus parrae"
136   1017   "Conger triporiceps"
136   1162   "Corvula batabana"
136   6   "Coryphaena hippurus"
136   3842   "Coryphopterus dicrus"
136   3843   "Coryphopterus eidolon"
136   3844   "Coryphopterus glaucofraenum"
136   3846   "Coryphopterus lipernes"
136   3848   "Coryphopterus personatus"
136   3297   "Cosmocampus elucens"
136   3674   "Cryptotomus roseus"
136   3858   "Ctenogobius boleosoma"
136   4219   "Cyclopsetta fimbriata"
136   3181   "Cyprinodon variegatus+variegatus"
136   1021   "Dactylopterus volitans"
136   3698   "Dactyloscopus crossotus"
136   3699   "Dactyloscopus tridigitatus"
136   1247   "Dasyatis americana"
136   2575   "Dasyatis say"
136   993   "Decapterus macarellus"
136   994   "Decapterus punctatus"
136   3657   "Decodon puellaris"
136   3322   "Dermatolepis inermis"
136   3563   "Diapterus auratus"
136   4659   "Diodon holocanthus"
136   1022   "Diodon hystrix"
136   1203   "Diplectrum formosum"
136   3574   "Diplodus argenteus+argenteus"
136   8460   "Diplospinus multistriatus"
136   3827   "Dormitator maculatus"
136   2467   "Echeneis naucrates"
136   3543   "Echeneis neucratoides"
136   2609   "Echidna catenata"
136   16644   "Elacatinus dilepis"
136   16640   "Elacatinus evelynae"
136   16642   "Elacatinus gemmatus"
136   12443   "Elacatinus genie"
136   3873   "Elacatinus horsti"
136   16639   "Elacatinus louisae"
136   12444   "Elacatinus multifasciatus"
136   16643   "Elacatinus pallens"
136   23733   "Elacatinus prochilos"
136   412   "Elagatis bipinnulata"
136   3718   "Emblemaria pandionis"
136   3716   "Emblemariopsis bahamensis"
136   16491   "Emblemariopsis occidentalis"
136   48175   "Emblemariopsis signifer"
136   1098   "Enchelycore nigricans"
136   3720   "Enneanectes altivelis"
136   3721   "Enneanectes boehlkei"
136   3756   "Entomacrodus nigricans"
136   14   "Epinephelus adscensionis"
136   15   "Epinephelus guttatus"
136   16   "Epinephelus itajara"
136   17   "Epinephelus morio"
136   18   "Epinephelus striatus"
136   8468   "Epinnula magistralis"
136   3584   "Equetus lanceolatus"
136   3585   "Equetus punctatus"
136   3830   "Erotelis smaragdus"
136   1391   "Etelis oculatus"
136   4221   "Etropus crossotus"
136   1049   "Eucinostomus argenteus"
136   1051   "Eucinostomus havana"
136   3155   "Euleptorhamphus velox"
136   97   "Euthynnus alletteratus"
136   3852   "Evermannichthys metzelaari"
136   3853   "Evorthodus lyricus"
136   3275   "Fistularia tabacaria"
136   886   "Galeocerdo cuvier"
136   1041   "Gempylus serpens"
136   1054   "Gerres cinereus"
136   3700   "Gillellus greyae"
136   3702   "Gillellus uranidea"
136   2532   "Ginglymostoma cirratum"
136   12445   "Ginsburgellus novemlineatus"
136   3855   "Gnatholepis thompsoni"
136   3077   "Gobiesox punctulatus"
136   3856   "Gobioides broussonnetii"
136   3831   "Gobiomorus dormitor"
136   12130   "Gramma linki"
136   5281   "Gramma loreto"
136   12131   "Gramma melacara"
136   4257   "Gymnachirus melas"
136   7546   "Gymnothorax funebris"
136   1103   "Gymnothorax miliaris"
136   7547   "Gymnothorax moringa"
136   7548   "Gymnothorax vicinus"
136   1126   "Haemulon album"
136   1128   "Haemulon aurolineatum"
136   1131   "Haemulon carbonarium"
136   1134   "Haemulon chrysargyreum"
136   1135   "Haemulon flavolineatum"
136   1136   "Haemulon macrostomum"
136   1138   "Haemulon melanurum"
136   1139   "Haemulon parra"
136   1140   "Haemulon plumierii"
136   1141   "Haemulon sciurus"
136   1143   "Haemulon striatum"
136   3660   "Halichoeres bivittatus"
136   3662   "Halichoeres cyanocephalus"
136   3663   "Halichoeres garnoti"
136   3664   "Halichoeres maculipinna"
136   3665   "Halichoeres pictus"
136   3666   "Halichoeres poeyi"
136   1068   "Halichoeres radiatus"
136   1478   "Harengula clupeola"
136   1479   "Harengula humeralis"
136   1480   "Harengula jaguana"
136   3324   "Hemanthias aureorubens"
136   9062   "Heteroconger longissimus"
136   1150   "Heteropriacanthus cruentatus"
136   3283   "Hippocampus erectus"
136   3285   "Hippocampus reidi"
136   3089   "Histrio histrio"
136   3609   "Holacanthus ciliaris"
136   3610   "Holacanthus tricolor"
136   1061   "Holocentrus adscensionis"
136   1062   "Holocentrus rufus"
136   1720   "Hymenocephalus italicus"
136   3757   "Hypleurochilus aequipinnis"
136   3760   "Hypleurochilus springeri"
136   3237   "Hypoatherina harringtonensis"
136   47862   "Hypoplectrus aberrans"
136   16533   "Hypoplectrus gummigutta"
136   16534   "Hypoplectrus guttavarius"
136   12766   "Hypoplectrus indigo"
136   16535   "Hypoplectrus nigricans"
136   12759   "Hypoplectrus puella"
136   3329   "Hypoplectrus unicolor"
136   1205   "Hyporthodus flavolimbatus"
136   1206   "Hyporthodus mystacinus"
136   3572   "Inermia vittata"
136   78   "Istiophorus albicans"
136   752   "Isurus oxyrinchus"
