"key";"title"
"72da316f-62b4-451e-9238-cf72289e6372";"The International Plant Names Index Collaborators"
"7f65a925-b9ce-4c1c-9d9f-5d32c4e76ae1";"Kuopio Natural History Museum"
"8cdd9232-84eb-4bad-9d9b-a36910cd524b";"Museum and Art Gallery of the Northern Territory"
"7a617d01-4c93-4a27-848d-65e3d28008ed";"Muhimbili University of Health and Allied Sciences, Institute of Traditional Medicine"
"8458558e-ea65-4a67-8cbf-ad8b0d86cb81";"National Environmental Management Council"
"c4b8c992-bc88-4b19-87c3-f89a19604e25";"Herbiers Universitaires de Clermont-Ferrand"
"196893ee-8103-4ac7-9977-cb136b253a7f";"Lycée Félix Esclangon. Comité du Patrimoine Manosquin. Herbier G. Fenoul"
"8d8c424d-9ab0-4b82-811e-900577f93f66";"Conservatoire Botanique National Alpin"
"60f8ce17-065e-40ff-bac6-4f85f5edaedd";"Museo Entomológico de León – MEL"
"2d9c9af1-308d-4d9d-9dd5-8035407ca868";"Círculo Herpetológico de Panamá"
"dca4d666-c9e0-4712-b658-0d1bc3f39d48";"Société des Sciences Naturelles et Mathématiques de Cherbourg"
"cc364fce-e436-4c77-8b37-289a0e837681";"Herbarium specimens of Bamboo collection Prafrance Générargue (BAMBO)"
"743b654c-be54-4ba1-94ef-2b874f160395";"Muséum d'Histoire Naturelle d'Autun, Herbarium"
"c2c3be16-01fe-4255-a8dd-cfcdf285d721";"Museum d'Histoire Naturelle of Aix-en-Provence, Herbarium"
"6ba9a8cc-513a-4a51-bf93-6f5de8040a96";"Swedish Museum of Natural History"
"39b7b3bc-3dc2-4c64-8de6-aa6ece25c1d9";"ECOCEAN USA"
"ee6a779a-dce6-4f16-ae3d-84f495def86e";"Lund Museum of Zoology"
"129c7813-b018-42ae-962a-b9a026926bc4";"Laboratorio de Biologia Vegetal"
"aebd53d6-20fb-4817-8c8f-bf6580b46506";"Ministerio de recursos naturales y ambiente – MARENA"
"2afeb273-cbbc-4fcf-a10f-7baf271b62c5";"Université d'Abomey-Calavi, Faculté des Sciences Agronomiques"
"74c88464-26e0-4bc1-ac4a-2687504e61c9";"Universidad de Santiago de Chile"
"b207e0d6-d8e9-461a-afdf-84e2197a29db";"Institute of Jamaica"
"9ffd491b-f56b-408d-8a9c-723a310501e5";"Facultad de Agronomía de la Universidad Nacional de La Pampa"
